GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kfirst,lesson10.task1,Parser,339,0,32,0,39,0,23,0,6,0
kfirst,lesson10.task1,Expression.Negate,13,0,0,0,1,0,2,0,2,0
kfirst,lesson10.task1,Expression.Constant,10,0,0,0,1,0,2,0,2,0
kfirst,lesson10.task1,Expression,131,0,17,0,21,0,11,0,1,0
kfirst,lesson10.task1,Expression.Variable,4,0,0,0,1,0,1,0,1,0
kfirst,lesson10.task1,Expression.Binary,31,0,0,0,1,0,4,0,4,0
kfirst,lesson10.task1,RegexKt,101,0,8,0,13,0,6,0,2,0
kfirst,lesson10.task1,Expression.Operation,33,0,0,0,5,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.generateListHtml.new Function1() {...},13,0,0,0,2,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt,180,0,4,0,30,0,7,0,5,0
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.1.new Function1() {...},26,0,2,0,3,0,2,0,1,0
kfirst,lesson10.task2,HtmlKt.generateSimpleHtml.new Function1() {...},13,0,0,0,2,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.generateSimpleHtml.1.new Function1() {...},8,0,0,0,2,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.new Function1() {...},26,0,2,0,3,0,2,0,1,0
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.1.1.new Function1() {...},8,0,0,0,1,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.generateListHtml.1.1.new Function1() {...},24,0,2,0,3,0,2,0,1,0
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.new Function1() {...},16,0,0,0,2,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.generateListHtml.1.1.1.new Function1() {...},8,0,0,0,2,0,1,0,1,0
kfirst,lesson10.task2,HTMLItem,21,0,0,0,3,0,3,0,3,0
kfirst,lesson10.task2,HTML,37,0,0,0,6,0,3,0,3,0
